City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
260,Ilulissat,GL,69.22,-51.1,24.8,53,75,13.87,broken clouds
261,Quijingue,BR,-10.75,-39.21,96.1,20,30,10.78,scattered clouds
262,Zahnitkiv,UA,48.04,28.9,63.0,90,100,15.68,overcast clouds
263,Tortoli,IT,39.93,9.66,65.37,55,21,4.0,few clouds
264,Sakakah,SA,29.97,40.21,82.4,12,0,3.36,clear sky
265,Gat,IL,31.61,34.76,81.0,41,0,1.99,clear sky
266,Garowe,SO,8.41,48.48,85.17,45,0,10.13,clear sky
267,Saint-Georges,GD,12.06,-61.75,84.2,70,75,10.29,broken clouds
268,Khandyga,RU,62.67,135.6,30.4,98,86,6.08,overcast clouds
269,Tuatapere,NZ,-46.13,167.68,46.99,91,83,11.99,broken clouds
270,Bayir,TR,37.27,28.22,75.2,57,18,2.24,few clouds
271,Lorengau,PG,-2.02,147.27,81.79,78,78,7.43,broken clouds
272,Pierre,US,44.37,-100.35,77.0,25,1,13.87,clear sky
273,Najran,SA,17.49,44.13,80.6,11,0,4.7,clear sky
274,Sioux Lookout,CA,50.1,-91.92,51.8,71,75,6.93,broken clouds
275,Qasigiannguit,GL,68.82,-51.19,24.8,53,75,13.87,broken clouds
276,Anadyr,RU,64.75,177.48,37.4,86,40,22.37,scattered clouds
277,Samarai,PG,-10.62,150.67,77.34,85,99,14.47,overcast clouds
278,Kysyl-Syr,RU,63.9,122.76,32.05,96,14,4.45,few clouds
279,Nhulunbuy,AU,-12.23,136.77,73.4,88,7,6.06,clear sky
280,Yingcheng,CN,30.95,113.55,53.6,93,20,4.47,mist
281,Norman Wells,CA,65.28,-126.83,39.2,86,75,14.99,broken clouds
282,Comodoro Rivadavia,AR,-45.87,-67.5,60.8,18,92,34.45,overcast clouds
283,Coihaique,CL,-45.58,-72.07,41.0,86,75,5.82,light rain
284,Komsomolskiy,UZ,40.43,71.72,57.2,41,100,4.7,overcast clouds
285,Nemuro,JP,43.32,145.57,56.28,75,7,2.86,clear sky
286,Wyndham,US,37.7,-77.61,73.99,49,1,9.17,clear sky
287,Pachino,IT,36.72,15.09,75.0,76,3,3.0,clear sky
288,Hanmer Springs,NZ,-42.52,172.82,37.98,81,25,5.82,scattered clouds
289,Half Moon Bay,US,37.46,-122.43,71.01,87,20,3.36,few clouds
290,Lagoa,PT,39.05,-27.98,69.12,77,15,11.18,few clouds
291,Lakewood,US,39.7,-105.08,79.0,16,14,3.2,few clouds
292,Mvuma,ZW,-19.28,30.53,63.68,84,92,13.96,moderate rain
293,West Fargo,US,46.88,-96.9,73.4,45,40,13.87,scattered clouds
294,Wawa,NG,9.9,4.42,78.82,79,55,1.7,broken clouds
295,Waterboro,US,43.54,-70.72,62.6,72,90,10.29,overcast clouds
296,Santa Helena De Goias,BR,-17.81,-50.6,104.25,11,0,4.56,clear sky
297,Moroni,KM,-11.7,43.26,76.82,77,77,0.89,broken clouds
298,Richards Bay,ZA,-28.78,32.04,68.27,83,100,8.1,overcast clouds
299,Salym,RU,60.06,71.48,29.05,96,10,7.96,clear sky
